epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,718.297,1.00973,1.04887,1.45213,0.70551,0.44943,0.48335,0.23734,1.74725,1.92293,2.12983,0.0006304,0.0006304,0.0006304
58,730.25,1.0262,1.0554,1.47236,0.60811,0.38899,0.42444,0.20556,1.83047,2.15452,2.22306,0.0006238,0.0006238,0.0006238
59,742.26,1.00706,1.05314,1.46672,0.54391,0.48765,0.47439,0.23985,1.8107,1.81817,2.1992,0.0006172,0.0006172,0.0006172
60,754.171,0.97658,1.03192,1.432,0.56278,0.46545,0.4743,0.23979,1.85651,1.61868,2.23517,0.0006106,0.0006106,0.0006106
61,766.167,0.99584,1.01058,1.44735,0.59692,0.46165,0.49272,0.25205,1.82623,1.74497,2.14258,0.000604,0.000604,0.000604
62,778.572,0.98185,0.98733,1.42079,0.55111,0.42214,0.45833,0.22422,1.91904,1.88226,2.26202,0.0005974,0.0005974,0.0005974
63,790.531,0.98137,1.01799,1.43583,0.51211,0.44429,0.44977,0.22101,1.87223,1.81475,2.22838,0.0005908,0.0005908,0.0005908
64,802.479,0.98327,0.99283,1.42818,0.59851,0.50248,0.49127,0.24359,1.82261,1.96719,2.22436,0.0005842,0.0005842,0.0005842
65,814.593,0.95031,0.97007,1.4139,0.59224,0.496,0.48904,0.2371,1.88944,1.83035,2.2233,0.0005776,0.0005776,0.0005776
66,826.591,0.94268,0.95594,1.40603,0.62388,0.44433,0.47358,0.22858,1.85245,1.81715,2.22379,0.000571,0.000571,0.000571
67,838.58,0.95123,0.98548,1.44275,0.54039,0.52344,0.50085,0.25117,1.86666,1.79529,2.2284,0.0005644,0.0005644,0.0005644
68,850.975,0.94505,0.94979,1.40467,0.5207,0.48525,0.46955,0.23288,1.78429,1.88266,2.1409,0.0005578,0.0005578,0.0005578
69,862.973,0.95674,0.97027,1.44653,0.58013,0.45611,0.46032,0.23417,1.78938,1.8788,2.15774,0.0005512,0.0005512,0.0005512
70,874.909,0.96214,0.96076,1.40966,0.62813,0.47055,0.49167,0.25599,1.73613,1.68004,2.15768,0.0005446,0.0005446,0.0005446
71,887.13,0.94965,0.94586,1.38677,0.632,0.47966,0.49613,0.24929,1.76171,1.73617,2.144,0.000538,0.000538,0.000538
72,899.212,0.93066,0.93134,1.38147,0.63014,0.42879,0.48785,0.25699,1.76804,1.67781,2.13537,0.0005314,0.0005314,0.0005314
73,911.636,0.91398,0.93705,1.38828,0.57889,0.5071,0.46403,0.23684,1.85904,1.94758,2.21471,0.0005248,0.0005248,0.0005248
74,923.635,0.9063,0.90129,1.37362,0.58254,0.44297,0.44217,0.22772,1.80533,2.18276,2.16719,0.0005182,0.0005182,0.0005182
75,935.696,0.91815,0.90315,1.38404,0.63246,0.47693,0.48204,0.2472,1.71317,1.96077,2.06087,0.0005116,0.0005116,0.0005116
76,947.616,0.90291,0.90505,1.38097,0.60374,0.48303,0.48418,0.25716,1.7398,1.85903,2.11091,0.000505,0.000505,0.000505
77,959.618,0.92157,0.9058,1.38566,0.642,0.48717,0.49546,0.26007,1.8277,1.844,2.22402,0.0004984,0.0004984,0.0004984
78,971.912,0.91073,0.91042,1.37551,0.57843,0.51065,0.49568,0.25388,1.77807,1.80274,2.15388,0.0004918,0.0004918,0.0004918
79,983.895,0.86702,0.85432,1.33486,0.66778,0.46408,0.50387,0.26418,1.77754,1.75481,2.16293,0.0004852,0.0004852,0.0004852
80,996.217,0.88808,0.86623,1.3743,0.60732,0.48726,0.50008,0.25666,1.79281,1.77969,2.19028,0.0004786,0.0004786,0.0004786
81,1008.21,0.88534,0.85547,1.3504,0.56311,0.4449,0.46387,0.23719,1.76977,1.96288,2.128,0.000472,0.000472,0.000472
82,1020.15,0.85451,0.82032,1.31278,0.60487,0.50063,0.4998,0.26125,1.71763,1.80091,2.11308,0.0004654,0.0004654,0.0004654
83,1032.14,0.83174,0.8029,1.31352,0.63167,0.51055,0.52231,0.2644,1.75585,1.63335,2.1189,0.0004588,0.0004588,0.0004588
84,1044.52,0.86412,0.81681,1.32847,0.65206,0.46136,0.49747,0.25235,1.74761,1.73842,2.13666,0.0004522,0.0004522,0.0004522
85,1056.45,0.84335,0.81635,1.31393,0.75322,0.46216,0.52949,0.27263,1.8094,1.82137,2.23384,0.0004456,0.0004456,0.0004456
86,1068.65,0.87895,0.85973,1.35615,0.67116,0.46175,0.49483,0.24932,1.79763,1.84741,2.21745,0.000439,0.000439,0.000439
87,1080.64,0.86569,0.82955,1.34242,0.54003,0.48087,0.46598,0.23529,1.77891,1.85547,2.1578,0.0004324,0.0004324,0.0004324
88,1092.58,0.85485,0.81604,1.32221,0.74534,0.39869,0.48035,0.24325,1.76752,1.75024,2.14579,0.0004258,0.0004258,0.0004258
89,1104.53,0.79786,0.75985,1.28486,0.65368,0.47409,0.50193,0.26773,1.77238,1.71955,2.12524,0.0004192,0.0004192,0.0004192
90,1116.54,0.81391,0.75657,1.28581,0.64374,0.51024,0.50143,0.25982,1.85013,1.8146,2.29425,0.0004126,0.0004126,0.0004126
